distance,Ni,Ni_Err,Al,Al_Err,Cr,Cr_Err,Re,Re_Err
-1.300004482,80.38795383,0.034914404,5.780630273,0.020624317,11.22253364,0.027673538,2.608882254,0.014029878
-1.100004435,80.35299621,0.035197278,6.075847471,0.021263474,11.05030715,0.027689014,2.520849173,0.013899764
-0.900004447,80.40764253,0.035395723,6.414079197,0.021949327,10.7100652,0.027490459,2.468213071,0.013849786
-0.700004458,80.27328228,0.035775183,7.080479004,0.023156918,10.32207538,0.027260833,2.32416333,0.013558502
-0.50000447,79.87843273,0.036323607,7.997411053,0.024669353,9.913893853,0.026979766,2.210262361,0.013332642
-0.300004482,79.36427346,0.037028844,9.263535134,0.026615602,9.295527624,0.026463649,2.076663784,0.013059723
-0.100004479,78.60151906,0.037796388,10.78627497,0.028671299,8.671705689,0.02582184,1.940500286,0.012723745
0.099995524,77.7554456,0.038606824,12.38161923,0.030653027,8.074375661,0.025167414,1.788559503,0.012313134
0.299995542,77.00274893,0.039427372,13.91416118,0.032500164,7.426366726,0.024432103,1.656723163,0.01196839
0.49999553,76.39630546,0.040193448,15.14625611,0.034003476,6.917194885,0.023873618,1.540243539,0.011664646
0.699995518,76.02722593,0.040774023,16.05664011,0.035133121,6.480593947,0.023359522,1.435540006,0.011368896
0.899995506,75.68108022,0.041441678,16.79864829,0.036181971,6.142444002,0.023032825,1.37782749,0.011268335
1.099995494,75.55275381,0.041909004,17.16914338,0.036841632,5.936047154,0.022875462,1.342055648,0.01122844
1.299995542,75.57927098,0.042400182,17.32486271,0.03742013,5.782312526,0.022863759,1.313553784,0.011244527
