distance,Ni,Ni_Err,Al,Al_Err,Cr,Cr_Err,Re,Re_Err
-2.300004721,79.81801015,0.05781709,7.50963666,0.037985278,10.38713934,0.042752095,2.285213853,0.020939573
-2.100004673,79.82799765,0.059430023,7.508455313,0.038818658,10.38960769,0.04395442,2.273939344,0.021474271
-1.900004625,79.77863368,0.061421591,7.470337636,0.040122189,10.4438459,0.045293066,2.307182776,0.022234435
-1.700004578,79.85780982,0.063455998,7.357618939,0.04174273,10.49490549,0.046868997,2.289665752,0.022873299
-1.50000453,79.81719301,0.065856784,7.567684263,0.043775065,10.36085765,0.048217794,2.25426508,0.023486161
-1.300004482,79.69706068,0.068679775,7.832487279,0.046534036,10.2544221,0.049776417,2.216029938,0.024153672
-1.100004435,79.31936202,0.07181887,8.458995542,0.049910112,10.00994056,0.051243793,2.211701876,0.025109322
-0.900004447,79.00922314,0.075803356,9.116079717,0.054594423,9.664066484,0.052582424,2.210630663,0.026165817
-0.700004458,78.61739037,0.080145873,9.89803811,0.059702193,9.340590807,0.054166266,2.143980708,0.026961217
-0.50000447,77.87068925,0.08543844,11.1590691,0.066349952,8.915279625,0.055703406,2.054962019,0.027732219
-0.300004482,77.25268219,0.09123518,12.39813728,0.073631099,8.41837275,0.057147944,1.930807779,0.028321626
-0.100004479,76.50030814,0.097728349,13.93618382,0.081015742,7.689174147,0.057983793,1.874333894,0.029515846
0.099995524,75.9128455,0.105427377,15.02686591,0.08970541,7.196591368,0.059566663,1.863697218,0.031171694
0.299995542,75.39973951,0.113358844,16.17236795,0.098533019,6.676122588,0.061453717,1.751769954,0.032299107
0.49999553,75.19058976,0.12280439,17.06402422,0.107195802,6.021033088,0.06261112,1.724352935,0.03426389
0.699995518,74.89034982,0.134341385,17.65776449,0.118778882,5.813986014,0.067598452,1.637899673,0.03608955
0.899995506,74.86417755,0.147485873,17.93298162,0.130800494,5.467632804,0.070431429,1.735208023,0.040453053
1.099995494,74.7383171,0.162652282,18.3896681,0.145175375,5.136955265,0.076419442,1.735059531,0.044393903
1.299995542,75.08691178,0.181161287,17.99321854,0.160791983,5.240664191,0.083418338,1.679205493,0.0466681
1.499995589,74.65116821,0.209952907,18.43705415,0.187473546,5.302137391,0.09398303,1.60964025,0.052783058
1.699995637,74.70574015,0.247976226,18.46204852,0.22120318,5.162011694,0.106788693,1.670199632,0.061851664
1.899995685,74.75685016,0.305232762,18.39601172,0.272575528,5.267733788,0.125619331,1.579404336,0.073594022
2.099995613,74.60427662,0.395367617,18.62727609,0.354526994,5.138212787,0.156546033,1.63023451,0.086804036
2.299995661,74.22020733,0.546831663,19.07047841,0.49308509,5.0556539,0.195488028,1.653660352,0.119381146
2.499995708,74.7504547,0.78546796,18.5962883,0.69650019,4.904842952,0.268642472,1.748414049,0.163032749
2.699995756,74.5,1.144271621,18.79740653,1.02019731,5.05638262,0.41683427,1.646210845,0.203595206
2.899995804,73.9410596,1.788300776,19.38519738,1.643524011,4.958100559,0.573645657,1.715642458,0.352829433
